codigo_inep;nome_curso;grau;turno;campus;area_conhecimento;area_conhecimento_vestibular;modalidade;unidade_responsavel;unidade_coordenacao
122928;LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS
118074;MATEMÁTICA;BACHARELADO;Noturno;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE MATEMÁTICA
13402;MATEMÁTICA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE MATEMÁTICA
13402;MATEMÁTICA;LICENCIATURA;Noturno;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE MATEMÁTICA
313402;MATEMÁTICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE MATEMÁTICA
1162837;MATEMÁTICA COMPUTACIONAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE INFORMÁTICA (CI);CI - COORDENAÇÃO DE MATEMÁTICA COMPUTACIONAL
109948;MATEMÁTICA - EAD;LICENCIATURA;Matutino e Vespertino;UFPB VIRTUAL;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;A Distância;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CCEN - COORDENAÇÃO DE MATEMÁTICA
99045;MATEMÁTICA (LICENCIATURA);LICENCIATURA;Noturno;Litoral Norte (Mamanguape e Rio Tinto);Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE MATEMÁTICA (LICENCIATURA)
13424;MEDICINA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIENCIAS MEDICAS (CCM);CCM - COORDENAÇÃO DE MEDICINA
113709;MEDICINA VETERINÁRIA;BACHARELADO;Matutino e Vespertino;Areia;Ciências Agrárias;Área I - CIÊNCIAS AGRÁRIAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE MEDICINA VETERINÁRIA
97039;MÚSICA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE MÚSICA (LICENCIATURA)
97040;MÚSICA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE MÚSICA (LICENCIATURA)
97041;MÚSICA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE MÚSICA (LICENCIATURA)
26564;MÚSICA - BACHARELADO;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE MÚSICA (BACHARELADO)
123240;MUSICA POPULAR;OUTRO TIPO DE GRAU ACADÊMICO;Noturno;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE REGÊNCIA DE BANDAS E FANFARRAS (SEQUENCIAL)
13425;NUTRIÇÃO;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE NUTRIÇÃO
13426;ODONTOLOGIA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE ODONTOLOGIA
107356;PEDAGOGIA;LICENCIATURA;Noturno;Litoral Norte (Mamanguape e Rio Tinto);Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE PEDAGOGIA
109626;PEDAGOGIA;LICENCIATURA;Matutino e Vespertino;Bananeiras;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
109626;PEDAGOGIA;LICENCIATURA;Noturno;Bananeiras;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA);CCHSA - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
13418;PEDAGOGIA;LICENCIATURA;Matutino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
13418;PEDAGOGIA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
13418;PEDAGOGIA;LICENCIATURA;Noturno;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
13418;PEDAGOGIA;LICENCIATURA;Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
13418;PEDAGOGIA;LICENCIATURA PLENA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
109950;PEDAGOGIA - EAD;LICENCIATURA;Matutino e Vespertino;UFPB VIRTUAL;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;A Distância;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (EAD)
122924;PEDAGOGIA - EDUCAÇÃO DO CAMPO;LICENCIATURA;Noturno;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
113707;PEDAGOGIA (MSC);LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA)
13413;PSICOLOGIA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE PSICOLOGIA
26565;PSICOLOGIA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE PSICOLOGIA
122926;PSICOPEDAGOGIA (BACH);BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PSICOPEDAGOGIA
122926;PSICOPEDAGOGIA (BACH);BACHARELADO;Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE EDUCAÇÃO (CE);CE - COORDENAÇÃO DE PSICOPEDAGOGIA
1161324;QUÍMICA;LICENCIATURA;Noturno;Areia;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE QUÍMICA
118076;QUÍMICA;LICENCIATURA CURTA;Noturno;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CT - COORDENAÇÃO DO CURSO DE QUÍMICA INDUSTRIAL
13404;QUÍMICA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CT - COORDENAÇÃO DO CURSO DE QUÍMICA INDUSTRIAL
13404;QUÍMICA;LICENCIATURA;Noturno;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CT - COORDENAÇÃO DO CURSO DE QUÍMICA INDUSTRIAL
313404;QUÍMICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN);CT - COORDENAÇÃO DO CURSO DE QUÍMICA INDUSTRIAL
5000897;QUÍMICA;BACHARELADO;Noturno;Areia;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE QUÍMICA
13431;QUÍMICA INDUSTRIAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA (CT);CT - COORDENAÇÃO DO CURSO DE QUÍMICA INDUSTRIAL
1268221;RADIALISMO;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE RADIALISMO
123241;REGÊNCIA DE BANDAS E FANFARRAS;OUTRO TIPO DE GRAU ACADÊMICO;Noturno;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE REGÊNCIA DE BANDAS E FANFARRAS (SEQUENCIAL)
1126958;RELACÕES INTERNACIONAIS;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE RELAÇÕES INTERNACIONAIS
1126958;RELACÕES INTERNACIONAIS;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENACÃO DE RELAÇÕES INTERNACIONAIS
1268257;RELAÇÕES PÚBLICAS;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE RELAÇÕES PÚBLICAS
98982;SECRETARIADO EXECUTIVO BILÍNGUE;BACHARELADO;Noturno;Litoral Norte (Mamanguape e Rio Tinto);Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE SECRETARIADO EXECUTIVO BILÍNGUE
13417;SERVIÇO SOCIAL;BACHARELADO;Noturno;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE SERVIÇO SOCIAL
13417;SERVIÇO SOCIAL;BACHARELADO;Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE SERVIÇO SOCIAL
107360;SISTEMAS DE INFORMAÇÃO;BACHARELADO;Matutino e Vespertino;Litoral Norte (Mamanguape e Rio Tinto);Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE SISTEMAS DE INFORMAÇÃO (BACHARELADO)
407456;TEATRO (BACHARELADO);BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE TEATRO (BACHARELADO)
107456;TEATRO (LICENCIATURA);LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área V - ARTÍSTICA;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE TEATRO (BACHARELADO)
1127907;TECNOLOGIA DE ALIMENTOS;TECNOLÓGICO;Noturno;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL (CTDR);CTDR - COORDENAÇÃO DE TECNOLOGIA DE ALIMENTOS
1127907;TECNOLOGIA DE ALIMENTOS;TECNOLÓGICO;Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL (CTDR);CTDR - COORDENAÇÃO DE TECNOLOGIA DE ALIMENTOS
1125642;TECNOLOGIA EM GESTÃO PÚBLICA;TECNOLÓGICO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENAÇÃO DE GESTÃO PÚBLICA
1125642;TECNOLOGIA EM GESTÃO PÚBLICA;TECNOLÓGICO;Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA);CCSA - COORDENAÇÃO DE GESTÃO PÚBLICA
1127165;TECNOLOGIA EM PRODUÇÃO SUCROALCOOLEIRA;TECNOLÓGICO;Noturno;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL (CTDR);CTDR - COORDENAÇÃO DE TECNOLOGIA SUCROALCOLEIRA
1127165;TECNOLOGIA EM PRODUÇÃO SUCROALCOOLEIRA;TECNOLÓGICO;Vespertino;João Pessoa;Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE TECNOLOGIA E DESENVOLVIMENTO REGIONAL (CTDR);CTDR - COORDENAÇÃO DE TECNOLOGIA SUCROALCOLEIRA
1123330;TERAPIA OCUPACIONAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE TERAPIA OCUPACIONAL
122930;TRADUÇÃO;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE TRADUÇÃO (BACHARELADO)
19562;TURISMO;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE TURISMO
13403;ZOOTECNIA;BACHARELADO;Matutino e Vespertino;Areia;Ciências Agrárias;Área I - CIÊNCIAS AGRÁRIAS;Presencial;CENTRO DE CIÊNCIAS AGRÁRIAS (CCA);CCA - COORDENAÇÃO DE ZOOTECNIA